"","group","ADH1C","ANGPTL1","COL10A1","COL11A1","COL6A6","F12","FGF2","GJB2","HPGDS","MME","NR4A1","RPS24","SOX9","WNT11"
"GSM1045191","Normal",6.9056435555773,4.89221071391978,2.43818470720841,3.86563301758754,2.96456323218702,3.36930383611876,5.98474986682375,2.76649464713447,4.96432959851352,6.78601026585223,5.03270165054606,4.5787661941281,4.11325742715863,5.53130047353748
"GSM1045193","Normal",2.0385602785542,2.11032353790184,2.95569129072293,1.71658786148834,2.07528234312603,2.73486960114482,4.29180504094587,2.34246190427898,3.24159620580409,4.07109828398629,4.18799597456256,2.76400299093888,1.92986398275975,2.95594382147082
"GSM1045195","Normal",6.46318792742546,5.05321617466504,2.95569129072293,1.66874485919877,5.92243725796705,2.76052433336929,5.24738129888252,2.85215288655328,5.80576439442383,6.71918096553426,6.54287945333481,2.86978322211154,3.50704559429615,5.62745471709969
"GSM1045196","Normal",7.39771448301091,4.94001754578016,2.7888648066635,1.71658786148834,6.60254977696243,2.689719796269,5.79902314498251,2.01449485860391,5.10276517329853,7.65095766612056,5.54051554579615,3.02065789057979,1.85407885525936,5.64870643653658
"GSM1045197","Normal",6.72254147627115,5.12245084154748,2.63899162152548,1.71658786148834,5.28958087518294,3.1613491686234,6.33375852782276,2.34246190427898,6.21036451095985,7.41862968443816,6.79506149523032,2.99299234233565,3.9000614211924,5.66144546437179
"GSM1045199","Normal",7.6418814555708,6.77189878131203,2.79148695566264,2.08970485780979,7.12078567174522,2.21284460427604,6.04605462642364,2.36374596838753,4.58404448194993,7.81860955423193,6.34524606770854,2.73914513122195,2.54336639129134,5.65322801823984
"GSM1045200","Normal",6.73673138385898,2.3144576121843,2.96264557708841,1.71658786148834,7.91717431040568,4.15909632516213,3.48737195092687,1.87962559829146,5.96303225627956,6.21827398488733,5.2357606347946,3.79250973822535,3.92388896282937,5.24634230583426
"GSM1045201","Normal",5.34437998286179,3.86228144642046,2.42716514817453,3.16728508166066,7.23186349116507,3.75819566435433,3.02510638521001,3.52150485712619,4.91597025115291,6.19510715416566,6.57303887948349,3.36723273596715,5.76507671348571,4.61308730584711
"GSM1045204","Normal",7.05095780872582,5.76771292583578,2.42716514817453,2.58156007298228,5.54976308339303,2.79952697231311,5.61585775299985,2.70684677957767,6.1456055277321,7.5318799030617,4.84947706833786,3.48010155014758,1.85407885525936,5.58640530164349
"GSM1045205","Normal",7.15864280556297,5.22203420699172,2.74743275500668,1.72799479486786,6.21752445561072,2.21284460427604,5.6463021627012,2.38903890188795,2.8602359228751,7.37198156345626,5.36737921644546,3.9111361620588,3.10465722405359,5.40977685333619
"GSM1045206","Normal",6.67805307433069,4.68594108084258,2.58296125008063,1.66874485919877,2.07528234312603,2.67280410326496,5.17044885063364,2.01449485860391,3.79008391780675,7.70293012326333,5.43843303858946,2.87145881529003,2.01160377752495,5.33474332934522
"GSM1045207","Normal",7.07905177222233,5.54939352985231,2.68146002966824,2.08250382644551,6.83459593155792,2.21284460427604,6.0288599419677,2.15266728263846,5.55329035263484,7.42143833107557,5.75287450157787,3.0203313221725,1.85407885525936,6.28692871386813
"GSM1045208","Tumor",2.0385602785542,2.06153507604552,5.33954436485771,6.62261129992644,2.07528234312603,5.77919252564084,2.48770091741137,4.18144917342496,2.49909406796156,2.54376708776955,3.52861282850899,6.43939383905744,6.74695550869443,2.38071734609611
"GSM1045210","Tumor",2.0385602785542,2.06153507604552,5.24734143032956,6.71673960018353,2.07528234312603,6.4759201723713,2.81243595937793,4.63463084037549,2.63633515698491,2.30804952726939,3.53733787669591,5.99804318310311,6.32941904176647,3.22958099904553
"GSM1045211","Tumor",2.0385602785542,2.06153507604552,8.09578002086353,9.32348822801136,2.07528234312603,6.47912610502718,3.26282104208584,6.13142057722839,2.97969120365998,3.66165441280948,3.67083388461191,5.89275217268412,5.28837692451438,3.79103467401316
"GSM1045212","Tumor",2.0385602785542,2.06153507604552,7.32932130644614,8.0064318029122,2.07528234312603,4.30456414848391,2.53924409012916,5.58802475891116,2.27960640284753,2.79651040915141,4.65027957961748,5.12045993658954,6.64359048543668,3.82408869800806
"GSM1045214","Tumor",2.0385602785542,2.08328686628787,2.42716514817453,1.75169141623318,2.07753243695039,2.83233340293704,2.82052585220512,2.01449485860391,2.09538964620849,3.86200893827222,3.38146356393414,6.16973899152041,5.02745081004342,1.80748671920862
"GSM1045215","Tumor",2.02076580211955,2.06153507604552,8.32146790652768,8.41988094823143,4.94270675485218,4.41895013221917,2.47778460917695,6.89731889508506,3.91814294770979,5.76580767946748,5.11133231322938,6.18902472487551,4.70752783331191,2.3095154376192
"GSM1045216","Tumor",2.40706496688305,2.06153507604552,3.73565868647424,4.23944581222325,2.45678885719776,5.69741927695816,2.65665018713195,4.63463084037549,3.75008899931054,3.97020561137146,4.69587320181365,6.21277121399762,6.70321705581205,2.38208102124783
"GSM1045217","Tumor",2.0385602785542,2.35866562139848,4.59237623289743,8.0313543339371,2.07528234312603,4.48637126013995,2.47778460917695,4.63463084037549,2.81429451492937,3.59494683567391,5.0979145238664,4.28036754647102,7.65221317343476,2.90125651618439
"GSM1045218","Tumor",2.00705192836829,2.06153507604552,3.47820088539662,2.57703278117941,2.07528234312603,8.00020199896435,5.65425986150508,4.27593728341787,2.99021946298433,2.57935651689171,3.43063413485423,7.02768358126953,6.5584627339775,2.50962216703895
"GSM1045219","Tumor",1.996380701968,2.06153507604552,3.15858611685725,3.16306013793098,2.07528234312603,6.9739180412658,4.6246219757714,4.1936846483723,2.48011940097872,2.80780985564966,3.71058459791505,7.07943082201372,6.30702484609382,2.26746201724559
"GSM1045220","Tumor",2.0385602785542,2.06153507604552,4.78057476135663,5.41772707625544,2.18841106014326,5.62040291964244,2.47088149089838,4.88129239243782,2.29130910602631,3.70861084588636,3.38146356393414,6.0740204935828,6.38348172255497,2.03138668406866
"GSM1045221","Tumor",2.0385602785542,2.16962393425907,5.5463904384126,8.16194761407557,2.07528234312603,5.72315071906668,2.47778460917695,4.17949399987735,3.08452848597024,2.78402197454562,5.18966973993642,6.31412629021256,6.7984756319487,3.51932450514477
"GSM1045222","Tumor",2.0385602785542,2.06153507604552,5.01732294885134,6.55793555762032,2.07528234312603,5.99392165039364,2.47778460917695,4.92572334482638,2.81429451492937,4.38298028361202,3.60006631119816,4.83701904145632,6.94229762397662,2.44848614846656
"GSM1045224","Tumor",2.00705192836829,2.06153507604552,5.07083809415701,6.22938853282795,2.07528234312603,5.71380162471346,2.47778460917695,4.45606334256425,3.61996362015771,2.03847895465647,3.38146356393414,4.03882237071564,5.32094962342547,2.31378719715163
"GSM1045225","Tumor",2.0385602785542,2.06153507604552,5.15151458675221,7.41989069926653,2.07528234312603,5.0563247334625,3.24548618074146,4.63463084037549,3.00551201380118,3.52011013781802,4.09196988067368,6.1507196323777,6.33481015851708,5.9580076278213
"GSM1045230","Tumor",2.00705192836829,2.06153507604552,5.88463785092697,5.78157601049778,2.07528234312603,5.41391625456601,2.47778460917695,4.3848331563621,2.82340980821604,2.63098666062146,3.41882773019134,6.70779950269247,3.2210599725266,1.80748671920862
"GSM1045231","Tumor",2.0385602785542,2.06153507604552,5.19896626277219,6.63022366191409,2.07619518480434,4.7424942407518,2.47778460917695,4.3720640585393,2.36371547286401,3.20141701269377,5.20582458126295,6.10505289313354,5.76208140546213,1.92001009142968
"GSM1045232","Tumor",2.0385602785542,2.06153507604552,6.43488602317118,8.11619153227706,2.07528234312603,6.5530070665822,2.47778460917695,4.41604742530663,3.48699098928248,2.3955701514106,2.81018441522772,6.93783239461967,4.65486411230155,2.06599360856186
"GSM1045233","Tumor",2.0385602785542,2.06153507604552,7.23388182419148,7.78253759191138,2.07528234312603,4.34619503457669,2.50339165829521,6.70052547834468,2.81429451492937,2.3955701514106,4.74379744247426,5.84767486107016,5.97006719466329,3.26080007945595
"GSM1045234","Tumor",2.00705192836829,2.0600434077824,7.75849296895421,9.27636344394588,2.07528234312603,4.55513181610498,2.37745526914554,7.64303213913841,2.97969120365998,4.57291079389381,3.7466789585863,8.90871948018345,6.01026009704986,2.27466109301759
"GSM1045236","Tumor",2.24205221117308,2.09427064312472,7.35703882909207,5.25832530553878,2.13030308028632,3.83029428694461,2.56007817947747,4.66171600303727,4.89166367682011,3.22555066953564,6.41515951751815,5.82345690996982,5.67587693371368,4.94698436615488
"GSM1045237","Tumor",2.0385602785542,2.12513402340727,5.66060597531689,5.09082864883056,2.63140417170026,5.42253558168883,2.57995499117428,3.36279687080627,2.70425862040983,2.40107412788228,5.69122201029968,4.78193899385927,5.28837692451438,2.36003256373411
"GSM1045238","Tumor",2.0385602785542,2.07268553638551,7.01315900136683,6.27788456499886,2.07528234312603,3.94433378641571,2.47778460917695,4.63463084037549,4.90133625074451,2.3955701514106,4.49080434389361,4.22341436477033,1.85407885525936,2.23203585805976
"GSM1045239","Tumor",2.0385602785542,2.08467876401257,6.31006087180037,5.32664903514853,2.68098941385036,5.10438702757805,2.67808848487674,4.8225445366874,3.74544378407157,2.38255285660196,4.35092514955726,6.04980987911624,5.24123330823921,2.02431988300467
"GSM1045240","Tumor",2.62397501032853,2.06153507604552,6.77398693876467,5.30066843960967,3.39326464039074,4.82068737119594,2.51862906223036,5.46277409772305,3.3907578638093,2.78402197454562,4.27762348195876,5.7873327868366,5.37259449710142,2.52724216010019
"GSM1045241","Tumor",2.0385602785542,2.14643464683022,4.63577516797738,2.34934877058069,2.09968474135315,5.09038413893892,2.53879596021483,3.18133805327026,4.38411782001176,2.66847238158318,3.87658294783173,6.25979622299587,1.98630606130485,2.16720706744738
"GSM1045242","Tumor",2.59466742712828,2.12136687004671,6.17531398148964,7.61669036079472,2.07329406646209,6.34945556820963,2.47778460917695,5.72668526043955,2.56370247472102,2.3955701514106,4.17533271096865,5.35014584283469,6.01909261128339,2.42920633795702
"GSM1045243","Tumor",2.45558046825629,2.37416655260264,3.22889381373567,6.5838750982078,2.78786366858102,6.39170038333013,2.47044494661414,4.25894270303769,2.7303772307645,3.59499527518374,4.26330154295758,3.89324220296824,6.40302508479478,3.56467698715575
"GSM1045244","Tumor",2.20922106803623,2.06153507604552,5.75428836750453,7.7611201423425,2.22125142211265,3.63409117293237,3.21155075508266,5.40846837415303,2.53494351386811,2.30804952726939,3.97623828764381,6.48784190111033,3.90303891644425,2.99107223414075
"GSM1045245","Tumor",4.30360683638443,2.06153507604552,8.02884286022686,9.71316541250496,2.11452796540937,4.44650079943762,2.47778460917695,7.62333923104231,4.12681556913994,4.01583833126979,3.3868837903612,5.89837577666045,3.92841743249197,2.1697698658091
"GSM1045247","Tumor",2.0385602785542,2.06153507604552,4.60803584526812,5.30714314822193,2.07528234312603,5.67273198812195,2.53879596021483,2.73932220020564,3.20479780362622,2.10189170520808,4.01356484026069,3.4036053690217,5.40262278562679,2.26400690005566
"GSM1045250","Tumor",2.0385602785542,2.06153507604552,3.39818330385084,3.8304287683192,2.07528234312603,7.44146111111897,2.99282096945922,9.22288573387506,2.26210253182747,2.14482048488661,3.6399544254473,4.01548842545654,7.36947472380426,2.78588765485453
"GSM1045251","Tumor",2.23799027913552,3.67923793068187,6.4562028743757,6.5838750982078,2.07528234312603,4.69354462506336,2.47778460917695,5.28079789747822,2.97969120365998,3.01750823767724,5.23120558994012,5.82032460260149,6.88795919485207,2.54653388961783
"GSM1045252","Tumor",2.0385602785542,2.32971027578202,5.3490744668176,8.36172314502363,3.95132227121793,3.01599575884149,2.53879596021483,7.55349736282844,5.83889224708234,6.960796766484,5.66544068909985,5.08099024168502,3.61890538177936,2.15045949321522
"GSM1045253","Tumor",1.996380701968,2.06153507604552,5.5608252387043,5.5980873529525,2.07329406646209,3.91895786243493,2.47778460917695,4.15934422275049,2.50059679418744,2.33545577649109,3.39984554629304,4.28215768016516,6.24762347097625,3.83793800602297
"GSM1045255","Tumor",2.0385602785542,2.06153507604552,6.83094544707906,8.60494862488326,2.07528234312603,5.33083012177373,2.57304110564825,5.42238427880028,2.80151919921079,2.03847895465647,4.04291607246805,5.26300821570075,3.95864754412432,3.19468098624558
"GSM1045256","Tumor",3.76021112019535,2.59952707143434,7.95749638206031,9.26513196512393,2.06787829367633,5.51533598365159,2.25970604234584,6.40555926494594,3.59784694962021,3.10195533577029,3.27858640124757,4.87692639047118,4.86738787207984,3.38076144775504
"GSM1045257","Tumor",2.0385602785542,2.06153507604552,4.50912090362923,6.5838750982078,2.07528234312603,5.18392744109784,2.47044494661414,2.95274360705036,2.81429451492937,2.33321856789672,4.51404076694672,3.65335609812723,3.62822097076297,2.18441023142855
"GSM1045258","Tumor",2.25970859556921,2.06153507604552,6.48420559246326,6.54346953813969,2.17201849940925,5.84565988429653,2.47778460917695,6.50877752177541,2.74525452606583,2.78402197454562,5.28460508458964,5.75313228044209,6.25224766057996,2.16720706744738
"GSM1045259","Tumor",2.5824274917717,2.06153507604552,5.46043337006577,6.64443236407908,2.07528234312603,5.33374837483456,3.16045286547062,5.48215790324747,2.81429451492937,2.27999441591362,6.3256611777837,5.45935309312994,6.95101860265189,2.26400690005566
"GSM1045260","Tumor",2.0385602785542,2.06153507604552,5.16399960294208,6.6341856031733,2.07528234312603,5.60434618364502,2.53879596021483,3.81910986145851,4.39201420823353,2.3955701514106,5.32036468295197,5.694726624961,6.61159384193208,2.1512101961712
"GSM1045261","Tumor",2.0385602785542,2.06153507604552,4.60593729806337,5.51246009249661,2.06787829367633,5.11995990287979,2.55434544329524,2.76682721923269,3.04065718275423,2.03847895465647,6.44592103743025,6.51307816791036,7.20959331004009,3.54223195297736
"GSM1045262","Tumor",2.0385602785542,2.06153507604552,4.3566451465444,5.87538777789801,2.07329406646209,7.59412041285751,2.28520959556305,2.38627224947096,2.70824671349708,2.36095034915849,6.15072225644177,3.38775627402284,4.71806332999209,2.04457648131519
"GSM1045263","Tumor",2.02647702942836,2.11573181654644,7.42625463225187,8.43848863028797,2.07528234312603,6.23977146092378,2.47044494661414,6.28360196620792,2.97969120365998,3.07339180778599,3.70597786150535,6.3205149731967,6.63750446196764,2.17375842175626
"GSM1045264","Tumor",2.0385602785542,2.0600434077824,5.50897031543004,8.03063565531301,2.07528234312603,7.75795375993329,2.53879596021483,5.98306271756752,2.87843218910891,2.3955701514106,4.19401724728665,4.58611741955714,7.34149415859922,3.49138425102249
"GSM1045266","Tumor",2.0385602785542,2.06153507604552,2.7888648066635,1.7180894763604,2.07528234312603,2.95946729916656,2.47044494661414,2.01449485860391,2.24415886855236,4.05554259879606,3.5485724697985,6.56296282116804,4.70884199483034,2.03138668406866
"GSM1045267","Tumor",2.04065985371442,2.34846528930802,4.00043495406495,3.53443643787252,2.07528234312603,4.34131932451677,3.2136358880085,2.34246190427898,2.97969120365998,3.31286477657416,3.69291553804603,6.0840771109584,6.96722279088337,4.39588232070883
"GSM1045268","Tumor",2.0385602785542,2.06153507604552,8.50480671210442,8.86131784713924,2.07528234312603,5.73127987144106,2.47778460917695,6.63093315686282,4.07953535451375,3.30948523701165,6.86974303098495,6.28910230932287,2.88036127291554,2.21556501763054
"GSM1045270","Tumor",2.0385602785542,2.06153507604552,2.84658373360599,3.26862462721899,2.07528234312603,8.39477037181862,2.28749907615398,7.84625269379862,2.49909406796156,2.3955701514106,4.25597846231599,6.01038173264041,6.18780678171025,3.13322727507952
"GSM1045271","Tumor",2.0385602785542,2.06153507604552,5.96410571608807,6.08807108012098,2.08622354322599,7.14662935817113,2.34240306844631,5.99284893841181,2.79556500941472,3.2167225589577,5.21959565637646,6.99311980846073,4.9055133302754,2.45938645682876
"GSM1045273","Tumor",2.0385602785542,2.06153507604552,6.16472707266572,6.5838750982078,2.07528234312603,2.86954009726258,2.53879596021483,4.87498203623056,2.49909406796156,2.3955701514106,5.15982332255336,5.66667018499123,3.93608322254611,4.81309556948066
"GSM1045275","Tumor",2.58470736724906,2.06153507604552,5.66987332779565,6.94733118312613,2.07329406646209,6.87200864971643,2.47778460917695,5.57251885992052,2.39584348460699,2.23018924607917,3.50168795948037,7.21415617383446,6.56243531850529,2.03206998848121
